id,batch_id,arm_id,pi
1948,132,12,0.9951400000000001
1956,133,4,0.21013
1961,133,9,0.88594
1966,133,14,0.9978199999999999
1973,134,5,0.37277
1978,134,10,0.88624
1983,134,15,0.9999899999999999
1989,135,5,0.4025
1994,135,10,0.8784299999999999
1999,135,15,0.99998
2003,136,3,0.24679
2008,136,8,0.899
2013,136,13,0.99743
2019,137,3,0.2455
2024,137,8,0.8979800000000001
2029,137,13,0.9974600000000002
2035,138,3,0.24256999999999998
2040,138,8,0.8995
2045,138,13,0.99757
2051,139,3,0.23718999999999998
2056,139,8,0.90146
2061,139,13,0.99794
2068,140,4,0.23067
2073,140,9,0.9056000000000001
2078,140,14,0.99783
2084,141,4,0.24593
2089,141,9,0.89666
2094,141,14,0.99733
2100,142,4,0.26588
2105,142,9,0.88915
2110,142,14,0.9974099999999999
2116,143,4,0.2623
2121,143,9,0.8913400000000001
2126,143,14,0.99751
2628,175,4,0.20293999999999998
2633,175,9,0.89834
2638,175,14,0.99819
2645,176,5,0.31367
2650,176,10,0.8947400000000001
2655,176,15,1.0000000000000002
2658,177,2,0.01335
2663,177,7,0.89743
2668,177,12,0.9954899999999999
2674,178,2,0.01272
2679,178,7,0.91433
2684,178,12,0.99554
2692,179,4,0.22864
2697,179,9,0.90693
2702,179,14,0.9978
2706,180,2,0.014249999999999999
2711,180,7,0.9079699999999999
2716,180,12,0.9949
2726,181,6,0.34046
2730,181,10,0.9110600000000001
2735,181,15,0.9999900000000002
2739,182,3,0.23032000000000002
2744,182,8,0.91008
2749,182,13,0.9980200000000001
2753,183,1,0.01364
2758,183,6,0.35850000000000004
2763,183,11,0.9773800000000001
2768,183,16,1.0000000000000002
2769,184,1,0.01265
2774,184,6,0.34973000000000004
2779,184,11,0.97926
2784,184,16,0.9999999999999999
2786,185,2,0.012329999999999999
2791,185,7,0.91608
2796,185,12,0.99561
2801,186,1,0.01354
2806,186,6,0.35037999999999997
2811,186,11,0.9781199999999999
2816,186,16,0.9999999999999998
2818,187,2,0.0128
2823,187,7,0.93371
2828,187,12,0.9959600000000001
2831,187,15,0.99999
2836,188,4,0.24319000000000002
2841,188,9,0.93444
2846,188,14,0.99808
2852,189,4,0.24043000000000003
2857,189,9,0.9380799999999999
2862,189,14,0.9981399999999999
2866,190,2,0.0132
2877,190,13,0.99795
2885,191,5,0.3706
2890,191,10,0.92562
2895,191,15,0.9999900000000002
2900,192,4,0.25431000000000004
2905,192,9,0.92901
2910,192,14,0.99798
2914,193,2,0.01185
2919,193,7,0.93028
2924,193,12,0.9961599999999999
2930,194,2,0.01342
2935,194,7,0.92408
2940,194,12,0.99556
2946,195,2,0.01335
2951,195,7,0.92542
2956,195,12,0.9953400000000001
2959,195,15,1.0
2961,196,1,0.0132
2966,196,6,0.37945
2971,196,11,0.97908
2976,196,16,1.0
2977,197,1,0.01269
2982,197,6,0.37992
2987,197,11,0.97882
427,27,11,0.9871920000000001
431,27,15,0.999985
433,28,1,0.009857
437,28,5,0.250401
441,28,9,0.8047169999999998
445,28,13,0.9982739999999999
1409,99,1,0.01556
1414,99,6,0.34479
1419,99,11,0.9774499999999999
1424,99,16,1.0
1890,129,2,0.01141
1895,129,7,0.88792
1900,129,12,0.9956600000000001
1905,130,1,0.01156
1910,130,6,0.34298
1915,130,11,0.9825200000000001
1920,130,16,0.9999999999999999
1922,131,2,0.01265
1927,131,7,0.89158
1932,131,12,0.9959600000000001
1939,132,3,0.21534999999999999
1944,132,8,0.88082
1949,132,13,0.9978500000000001
1957,133,5,0.36266
1962,133,10,0.88613
1967,133,15,0.99998
1969,134,1,0.01267
1974,134,6,0.37278
1979,134,11,0.98075
1984,134,16,0.9999999999999999
1985,135,1,0.01473
1990,135,6,0.4025
1995,135,11,0.97956
2000,135,16,1.0
2004,136,4,0.24682
2009,136,9,0.90027
2014,136,14,0.99749
2020,137,4,0.24556
2025,137,9,0.8994600000000001
2030,137,14,0.9975100000000002
2036,138,4,0.24258999999999997
2041,138,9,0.90081
2046,138,14,0.99767
2052,139,4,0.2372
2057,139,9,0.90266
2062,139,14,0.9979800000000001
2069,140,5,0.38781
2074,140,10,0.90575
2079,140,15,1.0
2085,141,5,0.41517000000000004
2090,141,10,0.89686
2095,141,15,0.9999800000000001
2101,142,5,0.44578
2106,142,10,0.88934
2111,142,15,0.9999899999999999
2117,143,5,0.43977
2122,143,10,0.8915200000000001
2127,143,15,0.99998
2787,185,3,0.23233
2792,185,8,0.91647
2797,185,13,0.99792
2802,186,2,0.01359
2807,186,7,0.9319599999999999
2812,186,12,0.9953299999999998
2819,187,3,0.23249
2824,187,8,0.9340400000000001
2829,187,13,0.9981700000000001
2832,187,16,1.0
2833,188,1,0.01246
2838,188,6,0.35187
2843,188,11,0.97984
2848,188,16,1.0
2849,189,1,0.01254
2854,189,6,0.34676
2859,189,11,0.9802099999999999
2864,189,16,0.9999999999999999
2867,190,3,0.25772
2871,190,7,0.92991
2874,190,10,0.93165
2879,190,15,0.99997
2882,191,2,0.013300000000000001
2887,191,7,0.92401
2892,191,12,0.9950300000000001
2897,192,1,0.01272
2902,192,6,0.36621000000000004
2907,192,11,0.97922
2912,192,16,1.0
2913,193,1,0.01179
2918,193,6,0.36841
2923,193,11,0.98074
2928,193,16,0.9999999999999999
2929,194,1,0.01332
2934,194,6,0.39351
2939,194,11,0.97874
2944,194,16,1.0
2945,195,1,0.01328
2950,195,6,0.38392000000000004
2955,195,11,0.9778800000000001
2965,196,5,0.37945
2970,196,10,0.92902
2975,196,15,0.99999
2981,197,5,0.37990999999999997
2986,197,10,0.9292900000000001
2991,197,15,1.0
2997,198,5,0.37901999999999997
3002,198,10,0.92377
3007,198,15,1.0
3010,199,2,0.01214
3015,199,7,0.92587
3020,199,12,0.9962399999999999
3029,200,5,0.38212
3034,200,10,0.9293300000000002
3038,200,14,0.9983200000000003
3045,201,5,0.33925
3050,201,10,0.9251900000000002
3055,201,15,0.9999900000000002
3059,202,3,0.19074
3064,202,8,0.91898
3069,202,13,0.9980899999999999
3074,203,2,0.01485
3079,203,7,0.91152
3084,203,12,0.99453
3089,204,1,0.01494
3094,204,6,0.32660999999999996
3099,204,11,0.9761299999999999
3104,204,16,0.9999999999999999
3108,205,4,0.1985
